,temp,rain,humidity,sunshine,datetime
457,-1.6,0.0,52,0.0,2019-01-20 07:00:00
458,-2.4,0.0,50,0.0,2019-01-20 08:00:00
459,-2.4,0.0,38,0.4,2019-01-20 09:00:00
460,-1.6,0.0,34,1.0,2019-01-20 10:00:00
461,-0.6,0.0,30,1.0,2019-01-20 11:00:00
462,-0.4,0.0,28,1.0,2019-01-20 12:00:00
463,0.7,0.0,26,1.0,2019-01-20 13:00:00
464,1.1,0.0,24,1.0,2019-01-20 14:00:00
465,1.5,0.0,20,1.0,2019-01-20 15:00:00
466,1.0,0.0,20,1.0,2019-01-20 16:00:00
467,0.1,0.0,21,1.0,2019-01-20 17:00:00
468,-1.4,0.0,24,0.4,2019-01-20 18:00:00
